track,hpss_acc_sdr,hpss_acc_si_sdr,hpss_vocals_sdr,hpss_vocals_si_sdr,ksvd_acc_sdr,ksvd_acc_si_sdr,ksvd_vocals_sdr,ksvd_vocals_si_sdr,nmf_acc_sdr,nmf_acc_si_sdr,nmf_vocals_sdr,nmf_vocals_si_sdr,oracle_ibm_acc_sdr,oracle_ibm_acc_si_sdr,oracle_ibm_vocals_sdr,oracle_ibm_vocals_si_sdr,oracle_irm_acc_sdr,oracle_irm_acc_si_sdr,oracle_irm_vocals_sdr,oracle_irm_vocals_si_sdr,repet_acc_sdr,repet_acc_si_sdr,repet_vocals_sdr,repet_vocals_si_sdr,rpca_acc_sdr,rpca_acc_si_sdr,rpca_vocals_sdr,rpca_vocals_si_sdr,scn_acc_sdr,scn_acc_si_sdr,scn_vocals_sdr,scn_vocals_si_sdr
AM Contra - Heart Peripheral,2.486,-1.058,0.262,-12.062,9.584,9.208,6.079,4.859,8.383,7.903,4.861,3.157,17.903,17.832,14.779,14.647,17.086,17.03,13.835,14.099,4.943,3.381,2.852,-0.295,1.909,-1.371,-1.574,-3.098,8.06,7.716,4.56,3.25
Al James - Schoolboy Facination,2.711,-0.561,1.013,-5.396,5.069,3.46,4.79,3.49,4.772,3.109,4.49,3.094,11.322,11.0,11.065,10.774,10.95,10.625,10.703,10.6,3.753,1.427,4.535,2.974,2.933,-0.015,2.671,0.782,5.312,4.381,5.043,3.661
Angels In Amplifiers - I'm Alright,1.42,-4.118,0.392,-10.23,6.901,5.947,5.384,4.381,6.118,4.9,4.598,3.373,14.96,14.819,13.619,13.427,13.756,13.628,12.324,12.53,3.198,0.608,3.738,1.356,3.202,1.49,1.688,0.654,7.639,6.885,6.111,5.063
Arise - Run Run Run,2.594,-0.219,-0.979,-16.549,10.001,9.575,1.653,-1.954,9.013,8.511,0.66,-3.469,17.464,17.395,9.16,8.599,16.853,16.886,8.53,7.986,5.492,4.377,0.331,-4.793,1.735,-1.131,-6.607,-8.447,10.145,9.843,1.792,-2.849
BKS - Bulldozer,1.706,-1.367,-3.176,-24.778,7.807,7.114,-2.617,-6.213,7.617,6.871,-2.809,-5.314,16.303,16.204,6.089,4.906,15.7,15.65,5.445,4.077,5.833,5.213,-0.982,-6.948,2.533,0.502,-7.902,-11.808,10.08,9.779,-0.321,-6.815
BKS - Too Much,3.253,0.713,0.755,-6.726,8.804,8.224,5.997,4.767,7.643,6.957,4.824,3.251,16.221,16.116,13.567,13.434,15.646,15.548,12.967,13.077,4.549,2.88,3.817,1.489,2.38,0.223,-0.42,-1.523,8.177,7.668,5.371,4.397
Ben Carrigan - We'll Talk About It All Tonight,2.148,-1.114,-0.506,-14.493,8.039,7.296,0.474,-3.886,8.09,7.358,0.528,-2.929,15.118,15.006,7.653,6.836,14.57,14.554,7.109,6.317,4.724,3.384,0.616,-4.554,2.419,0.162,-5.167,-8.058,9.196,8.736,1.634,-3.361
Bobby Nobody - Stitch Up,4.178,3.664,0.736,-7.322,7.893,7.174,1.73,-0.104,7.515,6.668,1.343,-0.984,16.233,16.131,10.154,9.745,15.558,15.527,9.464,9.158,6.108,5.296,2.884,-0.047,4.387,4.099,-1.767,-4.014,10.194,9.762,4.031,1.85
Buitraker - Revo X,3.213,1.761,0.138,-11.891,9.576,9.077,2.2,-0.982,8.99,8.406,1.601,-0.548,16.651,16.559,9.468,8.99,15.966,15.897,8.72,8.374,5.928,5.302,1.554,-2.3,1.246,-4.401,-6.141,-10.001,10.261,9.846,2.895,-0.227
Carlos Gonzalez - A Place For Us,0.8,-6.065,0.45,-9.458,3.018,0.4,3.818,1.871,2.443,0.225,3.245,0.551,9.458,8.872,10.289,9.936,8.927,8.306,9.756,9.683,1.726,-2.39,2.692,0.011,3.04,-0.038,3.839,2.125,2.752,1.547,3.56,1.291
