track,A_acc_sdr,A_acc_si_sdr,A_sec,A_vocals_sdr,A_vocals_si_sdr,B_acc_sdr,B_acc_si_sdr,B_sec,B_vocals_sdr,B_vocals_si_sdr,C_acc_sdr,C_acc_si_sdr,C_sec,C_vocals_sdr,C_vocals_si_sdr,D_acc_sdr,D_acc_si_sdr,D_sec,D_vocals_sdr,D_vocals_si_sdr,oracle_acc_sdr,oracle_acc_si_sdr,oracle_sec,oracle_vocals_sdr,oracle_vocals_si_sdr
AM Contra - Heart Peripheral,1.909,-1.371,1.08,-1.574,-3.098,8.383,7.903,0.47,4.861,3.157,9.584,9.208,0.27,6.079,4.859,8.047,7.705,0.25,4.548,3.219,17.086,17.03,0.05,13.835,14.099
Al James - Schoolboy Facination,2.933,-0.015,1.08,2.671,0.782,4.772,3.109,0.46,4.49,3.094,5.069,3.46,0.27,4.79,3.49,5.305,4.376,0.07,5.036,3.644,10.95,10.625,0.04,10.703,10.6
Angels In Amplifiers - I'm Alright,3.202,1.49,1.13,1.688,0.654,6.118,4.9,0.48,4.598,3.373,6.901,5.947,0.28,5.384,4.381,7.633,6.879,0.07,6.105,5.05,13.756,13.628,0.04,12.324,12.53
Arise - Run Run Run,1.735,-1.131,1.12,-6.607,-8.447,9.013,8.511,0.44,0.66,-3.469,10.001,9.575,0.27,1.653,-1.954,10.148,9.846,0.07,1.795,-2.845,16.853,16.886,0.04,8.53,7.986
BKS - Bulldozer,2.533,0.502,1.11,-7.902,-11.808,7.617,6.871,0.44,-2.809,-5.314,7.807,7.114,0.27,-2.617,-6.213,10.083,9.787,0.06,-0.318,-6.811,15.7,15.65,0.04,5.445,4.077
BKS - Too Much,2.38,0.223,1.12,-0.42,-1.523,7.643,6.957,0.46,4.824,3.251,8.804,8.224,0.27,5.997,4.767,8.158,7.648,0.07,5.352,4.386,15.646,15.548,0.04,12.967,13.077
Ben Carrigan - We'll Talk About It All Tonight,2.419,0.162,1.14,-5.167,-8.058,8.09,7.358,0.44,0.528,-2.929,8.039,7.296,0.26,0.474,-3.886,9.195,8.735,0.06,1.633,-3.365,14.57,14.554,0.04,7.109,6.317
Bobby Nobody - Stitch Up,4.387,4.099,1.09,-1.767,-4.014,7.515,6.668,0.47,1.343,-0.984,7.893,7.174,0.27,1.73,-0.104,10.193,9.761,0.07,4.031,1.85,15.558,15.527,0.04,9.464,9.158
Buitraker - Revo X,1.246,-4.401,1.13,-6.141,-10.001,8.99,8.406,0.45,1.601,-0.548,9.576,9.077,0.28,2.2,-0.982,10.253,9.838,0.07,2.887,-0.244,15.966,15.897,0.04,8.72,8.374
Carlos Gonzalez - A Place For Us,3.04,-0.038,1.1,3.839,2.125,2.443,0.225,0.46,3.245,0.551,3.018,0.4,0.27,3.818,1.871,2.754,1.55,0.07,3.563,1.298,8.927,8.306,0.04,9.756,9.683
Cristina Vane - So Easy,1.364,-2.787,1.1,-3.614,-4.099,11.224,10.884,0.46,6.235,5.373,11.12,10.776,0.27,6.138,5.098,10.604,10.355,0.07,5.595,5.157,20.65,20.626,0.04,15.703,15.996
Detsky Sad - Walkie Talkie,2.59,0.237,1.12,0.796,0.233,5.263,3.707,0.45,3.454,2.125,5.965,4.788,0.3,4.167,3.471,7.796,6.978,0.07,6.011,4.808,15.387,15.27,0.04,13.769,13.874
